代,氏名,ふりがな,在位期間,出身家,官位,画像,縮小画像,院号,墓所
1,徳川 家康,とくがわ いえやす,1603年2月12日〜1605年4月16日,安祥松平家,従一位 太政大臣,images/01.jpg,thumbnails/01.jpg,安国院 東照大権現,日光東照宮
2,徳川 秀忠,とくがわ ひでただ,1605年4月16日〜1623年7月27日,徳川氏,従一位 太政大臣,images/02.jpg,thumbnails/02.jpg,台徳院,増上寺
3,徳川 家光,とくがわ いえみつ,1623年7月27日〜1651年4月20日,徳川将軍家,従一位 左大臣,images/03.jpg,thumbnails/03.jpg,大猷院,輪王寺
4,徳川 家綱,とくがわ いえつな,1651年8月18日〜1680年5月8日,徳川将軍家,正二位 右大臣,images/04.jpg,thumbnails/04.jpg,厳有院,寛永寺
5,徳川 綱吉,とくがわ つなよし,1680年8月23日〜1709年1月10日,館林徳川家,正二位 右大臣,images/05.jpg,thumbnails/05.jpg,常憲院,寛永寺
6,徳川 家宣,とくがわ いえのぶ,1709年5月1日〜1712年10月14日,甲府徳川家,正二位 内大臣,images/06.jpg,thumbnails/06.jpg,文昭院,増上寺
7,徳川 家継,とくがわ いえつぐ,1713年4月2日〜1716年4月30日,徳川将軍家,正二位 内大臣,images/07.jpg,thumbnails/07.jpg,有章院,増上寺
8,徳川 吉宗,とくがわ よしむね,1716年8月13日〜1745年9月25日,紀州徳川家,正二位 右大臣,images/08.jpg,thumbnails/08.jpg,有徳院,寛永寺
9,徳川 家重,とくがわ いえしげ,1745年11月2日〜1760年5月13日,紀州徳川家,正二位 内大臣,images/09.jpg,thumbnails/09.jpg,惇信院,増上寺
10,徳川 家治,とくがわ いえはる,1760年5月13日〜1786年9月8日,徳川将軍家,正二位 右大臣,images/10.jpg,thumbnails/10.jpg,浚明院,寛永寺
11,徳川 家斉,とくがわ いえなり,1787年4月15日〜1837年4月2日,一橋徳川家,従一位 太政大臣,images/11.jpg,thumbnails/11.jpg,文恭院,寛永寺
12,徳川 家慶,とくがわ いえよし,1837年4月2日〜1853年6月22日,徳川将軍家,従一位 左大臣,images/12.jpg,thumbnails/12.jpg,慎徳院,増上寺
13,徳川 家定,とくがわ いえさだ,1853年11月23日〜1858年7月6日,徳川将軍家,正二位 内大臣,images/13.jpg,thumbnails/13.jpg,温恭院,寛永寺
14,徳川 家茂,とくがわ いえもち,1858年10月25日〜1866年7月20日,紀州徳川家,従一位 右大臣,images/14.jpg,thumbnails/14.jpg,昭徳院,増上寺
15,徳川 慶喜,とくがわ よしのぶ,1867年1月10日〜1868年1月3日,一橋徳川家,従一位 内大臣,images/15.jpg,thumbnails/15.jpg,,谷中霊園
